c421ee5a-dbd0-4f54-918c-a9029af10548,Sakura-Tribe Elder
6345376a-3d2d-4fff-9430-5e90a96e2f0f,Gyre Sage
30811fb2-5767-4106-9a8d-6091f61969c6,Adventurous Impulse
2b27e6b2-13ad-42b2-a121-70935913723d,Renata* Called to the Hunt
279acd17-6c17-427b-a69d-fc02442ff4a3,Reckoner Bankbuster
81634185-eb67-4d13-8b82-a662b8c9a7f0,Temple of Mystery
6cc78151-8cb0-4521-9674-fb0c67e24a17,Ajani* the Greathearted
99822609-bba8-44da-8f86-54960b566522,Declaration in Stone
4e5d9776-b6ce-4ad6-8acc-69115ba5de76,Winding Way
bb54233c-0844-4965-9cde-e8a4ef3e11b8,Breeding Pool
8ee69a1f-aeed-4eb4-8987-fa720fc99715,Planar Disruption
31d0c37f-ebce-4362-9400-6b9a6e439247,Drana* Liberator of Malakir
b7b598d0-535d-477d-a33d-d6a10ff5439a,Sacred Foundry
20ded7af-8086-465e-a980-3099217d324c,Burn Down the House
cf124bee-8023-4345-9023-d07b66d29891,Faith Unbroken
dfd5450a-6490-417f-9aea-b6fca6f380d7,Sulfurous Springs
915d2f5f-b228-4190-ade9-52e2a8056847,Secure the Wastes
ec265d99-808f-4024-91b2-6575b46fd6f8,Cast Out
e37da81e-be12-45a2-9128-376f1ad7b3e8,Prismatic Vista
7e6b3fb3-897b-4665-b053-a29f25850b25,Hanweir Militia Captain // Westvale Cult Leader
3c1baaa2-bd0b-4627-b93a-0753e0acd0f2,Gala Greeters
a3f82012-5c33-47bc-a3c8-56ae2eea1fb9,Dauntless Bodyguard
f466278e-1d5f-4af8-9c88-02b156e121bc,Blossoming Defense
307543ca-8e17-433f-9758-4c77da6c0870,Thief of Sanity
a5048047-abff-4a1f-8d72-6b758a03542c,Remand
100855e6-ac3e-481f-a462-afb5fcb5d476,Baloth Null
5d51355e-55fa-43bb-a5de-fc55ac7b6446,Geist-Honored Monk
865e267d-450c-4eeb-b61d-bd0ec5d8534a,Adorned Pouncer
e2b826be-4256-4fd6-ad4d-6c80933ee940,Phyrexian Dragon Engine
44cb3c56-3e19-4a61-a8f7-e89565f8b4b7,God-Pharaoh's Gift
b748341f-557c-4b6a-a36c-c08c9cc05b90,Meteor Golem
34ef01da-d311-4d4f-9f7b-328e7bb17db4,Spear of Heliod
cb6dc430-7393-49f3-ac34-a1a03579d9d0,Collective Effort
